date,risk_free_rate
2014-09-18,7.936507936507937e-07
2014-09-19,7.936507936507937e-07
2014-09-22,3.9682539682539683e-07
2014-09-23,3.9682539682539683e-07
2014-09-24,7.936507936507937e-07
2014-09-25,3.9682539682539683e-07
2014-09-26,3.9682539682539683e-07
2014-09-29,7.936507936507937e-07
2014-09-30,7.936507936507937e-07
2014-10-01,7.936507936507937e-07
2014-10-02,3.9682539682539683e-07
2014-10-03,3.9682539682539683e-07
2014-10-06,7.936507936507937e-07
2014-10-07,7.936507936507937e-07
2014-10-08,3.9682539682539683e-07
2014-10-09,3.9682539682539683e-07
2014-10-10,3.9682539682539683e-07
2014-10-14,7.936507936507937e-07
2014-10-15,7.936507936507937e-07
2014-10-16,1.1904761904761904e-06
2014-10-17,7.936507936507937e-07
2014-10-20,7.936507936507937e-07
2014-10-21,7.936507936507937e-07
2014-10-22,7.936507936507937e-07
2014-10-23,3.9682539682539683e-07
2014-10-24,3.9682539682539683e-07
2014-10-27,7.936507936507937e-07
2014-10-28,7.936507936507937e-07
2014-10-29,1.1904761904761904e-06
2014-10-30,3.9682539682539683e-07
2014-10-31,3.9682539682539683e-07
2014-11-03,7.936507936507937e-07
2014-11-04,1.1904761904761904e-06
2014-11-05,1.1904761904761904e-06
2014-11-06,1.1904761904761904e-06
2014-11-07,1.1904761904761904e-06
2014-11-10,7.936507936507937e-07
2014-11-12,7.936507936507937e-07
2014-11-13,7.936507936507937e-07
2014-11-14,7.936507936507937e-07
2014-11-17,1.1904761904761904e-06
2014-11-18,7.936507936507937e-07
2014-11-19,3.9682539682539683e-07
2014-11-20,7.936507936507937e-07
2014-11-21,3.9682539682539683e-07
2014-11-24,7.936507936507937e-07
2014-11-25,7.936507936507937e-07
2014-11-26,7.936507936507937e-07
2014-11-28,7.936507936507937e-07
2014-12-01,1.1904761904761904e-06
2014-12-02,1.1904761904761904e-06
2014-12-03,3.9682539682539683e-07
2014-12-04,7.936507936507937e-07
2014-12-05,7.936507936507937e-07
2014-12-08,1.1904761904761904e-06
2014-12-09,1.5873015873015873e-06
2014-12-10,1.1904761904761904e-06
2014-12-11,1.1904761904761904e-06
2014-12-12,7.936507936507937e-07
2014-12-15,1.5873015873015873e-06
2014-12-16,1.1904761904761904e-06
